"","vote_2019","gender","edu","age","province","dummy_vote"
"451","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"452","Conservative Party","Male","Graduated high school","60 plus","QC",0
"453","Liberal Party","Female","Graduated college","30 to 44","AB",1
"454","Conservative Party","Female","Graduated college","45 to 59","AB",0
"455","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"456","Conservative Party","Female","Graduated college","30 to 44","QC",0
"457","Liberal Party","Female","Graduated college","60 plus","ON",1
"458","Conservative Party","Female","Graduated college","30 to 44","SK",0
"459","Liberal Party","Male","Graduated college","45 to 59","AB",1
"460","Conservative Party","Female","Graduated college","60 plus","NB",0
"461","Conservative Party","Male","Didn't graduate college","18 to 29","AB",0
"462","Conservative Party","Female","Graduated college","30 to 44","AB",0
"463","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"464","Conservative Party","Male","Graduated high school","60 plus","QC",0
"465","Liberal Party","Female","Graduated college","30 to 44","ON",1
"466","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"467","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"468","Liberal Party","Female","Graduated high school","30 to 44","BC",1
"469","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"470","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"471","Conservative Party","Male","Graduated college","60 plus","ON",0
"472","Conservative Party","Female","Graduated high school","60 plus","AB",0
"473","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"474","Liberal Party","Female","Graduated college","30 to 44","NL",1
"475","Liberal Party","Female","Graduated college","18 to 29","ON",1
"476","Liberal Party","Male","Graduated college","60 plus","ON",1
"477","Liberal Party","Female","Graduated college","60 plus","ON",1
"478","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"479","Liberal Party","Female","Graduated high school","60 plus","NS",1
"480","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"481","Liberal Party","Male","Graduated college","60 plus","ON",1
"482","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"483","Conservative Party","Female","Graduated college","30 to 44","ON",0
"484","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"485","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"486","Liberal Party","Female","Graduated high school","60 plus","ON",1
"487","Conservative Party","Female","Didn't graduate college","45 to 59","QC",0
"488","Liberal Party","Female","Graduated college","45 to 59","QC",1
"489","Liberal Party","Female","Graduated college","30 to 44","MB",1
"490","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"491","Conservative Party","Female","Graduated college","60 plus","ON",0
"492","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"493","Conservative Party","Female","Graduated college","30 to 44","AB",0
"494","Conservative Party","Male","Graduated college","60 plus","ON",0
"495","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"496","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"497","Liberal Party","Female","Graduated high school","60 plus","QC",1
"498","Liberal Party","Male","Didn't graduate college","60 plus","AB",1
"499","Liberal Party","Female","Graduated college","45 to 59","ON",1
"500","Liberal Party","Male","Graduated college","45 to 59","BC",1
"501","Liberal Party","Female","Didn't graduate college","60 plus","NL",1
"502","Liberal Party","Male","Graduated college","60 plus","ON",1
"503","Conservative Party","Male","Graduated college","45 to 59","BC",0
"504","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"505","Liberal Party","Female","Didn't graduate college","60 plus","NS",1
"506","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"507","Conservative Party","Male","Graduated college","60 plus","ON",0
"508","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"509","Liberal Party","Female","Graduated college","60 plus","NB",1
"510","Liberal Party","Male","Graduated college","45 to 59","ON",1
"511","Liberal Party","Male","Didn't graduate college","30 to 44","MB",1
"512","Liberal Party","Female","Graduated college","60 plus","NB",1
"513","Conservative Party","Female","Graduated college","18 to 29","ON",0
"514","Liberal Party","Male","Graduated college","60 plus","ON",1
"515","Liberal Party","Male","Graduated college","45 to 59","ON",1
"516","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"517","Liberal Party","Female","Graduated college","60 plus","BC",1
"518","Conservative Party","Male","Graduated high school","30 to 44","MB",0
"519","Liberal Party","Female","Graduated college","45 to 59","QC",1
"520","Liberal Party","Female","Graduated college","45 to 59","ON",1
"521","Liberal Party","Male","Graduated college","45 to 59","AB",1
"522","Conservative Party","Male","Didn't graduate college","60 plus","SK",0
"523","Conservative Party","Male","Graduated college","60 plus","SK",0
"524","Liberal Party","Male","Graduated high school","60 plus","AB",1
"525","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"526","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"527","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"528","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"529","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"530","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"531","Conservative Party","Female","Graduated college","45 to 59","MB",0
"532","Liberal Party","Male","Graduated college","30 to 44","ON",1
"533","Conservative Party","Male","Graduated high school","60 plus","QC",0
"534","Liberal Party","Female","Graduated college","30 to 44","ON",1
"535","Conservative Party","Female","Graduated college","30 to 44","NS",0
"536","Conservative Party","Male","Graduated high school","30 to 44","QC",0
"537","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"538","Liberal Party","Female","Graduated college","60 plus","BC",1
"539","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"540","Conservative Party","Female","Graduated college","45 to 59","QC",0
"541","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"542","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"543","Liberal Party","Male","Graduated college","45 to 59","ON",1
"544","Conservative Party","Female","Graduated college","60 plus","ON",0
"545","Liberal Party","Female","Graduated college","30 to 44","ON",1
"546","Liberal Party","Male","Graduated college","18 to 29","ON",1
"547","Conservative Party","Male","Graduated college","60 plus","ON",0
"548","Conservative Party","Male","Graduated high school","30 to 44","AB",0
"549","Liberal Party","Female","Didn't graduate college","45 to 59","AB",1
"550","Conservative Party","Male","Didn't graduate college","30 to 44","QC",0
"551","Conservative Party","Female","Graduated college","30 to 44","ON",0
"552","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"553","Liberal Party","Female","Graduated college","60 plus","BC",1
"554","Liberal Party","Female","Graduated college","18 to 29","NS",1
"555","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"556","Conservative Party","Female","Didn't graduate high school","30 to 44","AB",0
"557","Liberal Party","Female","Didn't graduate college","45 to 59","NL",1
"558","Liberal Party","Male","Graduated college","60 plus","MB",1
"559","Liberal Party","Male","Graduated college","60 plus","ON",1
"560","Liberal Party","Male","Graduated high school","30 to 44","PE",1
"561","Liberal Party","Male","Graduated college","60 plus","QC",1
"562","Liberal Party","Female","Graduated college","30 to 44","QC",1
"563","Conservative Party","Female","Graduated college","30 to 44","ON",0
"564","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"565","Liberal Party","Male","Graduated college","30 to 44","ON",1
"566","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"567","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"568","Liberal Party","Male","Graduated college","30 to 44","ON",1
"569","Liberal Party","Male","Graduated college","60 plus","ON",1
"570","Liberal Party","Female","Didn't graduate high school","45 to 59","ON",1
"571","Conservative Party","Male","Graduated high school","18 to 29","AB",0
"572","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"573","Liberal Party","Male","Graduated high school","30 to 44","ON",1
"574","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"575","Liberal Party","Male","Graduated college","45 to 59","ON",1
"576","Conservative Party","Male","Graduated high school","30 to 44","AB",0
"577","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"578","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"579","Conservative Party","Female","Graduated college","45 to 59","ON",0
"580","Conservative Party","Female","Graduated college","18 to 29","MB",0
"581","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"582","Conservative Party","Female","Didn't graduate college","18 to 29","QC",0
"583","Liberal Party","Female","Graduated college","45 to 59","BC",1
"584","Liberal Party","Male","Graduated college","30 to 44","ON",1
"585","Liberal Party","Female","Graduated college","60 plus","ON",1
"586","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"587","Conservative Party","Male","Didn't graduate college","30 to 44","SK",0
"588","Liberal Party","Male","Didn't graduate college","30 to 44","MB",1
"589","Liberal Party","Male","Graduated college","30 to 44","ON",1
"590","Liberal Party","Female","Didn't graduate high school","60 plus","QC",1
"591","Liberal Party","Male","Graduated high school","60 plus","QC",1
"592","Conservative Party","Male","Graduated college","45 to 59","MB",0
"593","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"594","Liberal Party","Male","Graduated high school","30 to 44","QC",1
"595","Liberal Party","Female","Graduated college","45 to 59","BC",1
"596","Conservative Party","Female","Graduated college","30 to 44","ON",0
"597","Conservative Party","Female","Graduated high school","30 to 44","PE",0
"598","Conservative Party","Female","Didn't graduate high school","30 to 44","AB",0
"599","Liberal Party","Female","Graduated college","60 plus","ON",1
"600","Conservative Party","Female","Graduated college","18 to 29","ON",0
"601","Conservative Party","Female","Graduated college","60 plus","MB",0
"602","Conservative Party","Male","Didn't graduate college","30 to 44","BC",0
"603","Conservative Party","Male","Graduated college","18 to 29","MB",0
"604","Liberal Party","Female","Graduated college","60 plus","QC",1
"605","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"606","Liberal Party","Male","Graduated college","60 plus","ON",1
"607","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"608","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
